a52dec 0.7.4-9
speexdsp 1.2rc3-2
sqlite 3.13.0-1
startup-notification 0.12-4
sublime-text-dev 3.3114-1
sudo 1.8.16-1
sysfsutils 2.1.0-9
systemd 230-5
systemd-sysvcompat 230-5
taglib 1.11-1
tar 1.29-1
tdb 1.3.8-1
texinfo 6.1-4
thin-provisioning-tools 0.6.1-2
trayer 1.0-8
ttf-dejavu 2.35-1
tzdata 2016e-1
udevil 0.4.4-1
udisks2 2.1.7-1
usbutils 008-1
util-linux 2.28-1
v4l-utils 1.10.1-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 7.4.1910-1
vim-runtime 7.4.1910-1
vlc 2.2.4-1
wavpack 4.80.0-1
wayland 1.11.0-1
wayland-protocols 1.4-1
which 2.21-2
wireless_tools 30.pre9-1
words 2.1-4
wpa_actiond 1.4-2
wpa_supplicant 1:2.5-3
x265 1.9-1
xautolock 2.2-4
xbitmaps 1.1.1-3
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-keysyms 0.4.0-1
xdg-utils 1.1.1-2
xextproto 7.3.0-1
xf86-input-evdev 2.10.3-1
xf86-input-libinput 0.19.0-1
xf86-input-synaptics 1.8.99.1-1
xf86-video-intel 1:2.99.917+670+gcac7c8d-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.5.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.18-1
xmobar 0.23.1-18
xmonad 0.12-6
xmonad-contrib 0.12-5
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.3-2
xorg-server-common 1.18.3-2
xorg-setxkbmap 1.3.1-1
xorg-utils 7.6-9
xorg-xauth 1.0.9-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xinit 1.3.4-4
xorg-xkbcomp 1.3.1-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwininfo 1.1.3-1
xproto 7.0.29-1
xterm 325-1
xvidcore 1.3.4-1
xz 5.2.2-1
zeromq 4.1.5-1
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
zvbi 0.2.35-1
