

DBspace Usage Report: rootdbs             Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 /home/informix/local/local_root                2    50000    26962    23038

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 sysutils:'informix'.sysprocedures                                19687        8
 sysutils:'informix'.sysprocbody                                  19695       16
 sysutils:'informix'.sysproccolumns                               19711        8
 sysutils:'informix'.sysprocplan                                  19719        8
 sysmaster:'informix'.syscolumns                                  19727        8
 sysutils:'informix'.bar_inst_idx2                                19735        4
 sysmaster:'informix'.sysfragments                                19739        8
 sysadmin:'informix'.ix_cmd_hist_01                               19747        4
 rootdbs:'informix'.TBLSpace                                      19751       50
 sysutils:'informix'.sysprocbody                                  19801       48
 sysutils:'informix'.sysprocedures                                19849        8
 sysutils:'informix'.sysprocbody                                  19857       16
 sysutils:'informix'.sysprocauth                                  19873        8
 sysutils:'informix'.sysprocbody                                  19881       16
 sysutils:'informix'.sysprocplan                                  19897        8
 sysutils:'informix'.sysprocbody                                  19905       16
 sysutils:'informix'.sysprocedures                                19921        8
 sysutils:'informix'.sysprocbody                                  19929       16
 sysutils:'informix'.sysproccolumns                               19945        8
 sysutils:'informix'.sysprocbody                                  19953       16
 sysutils:'informix'.sysprocedures                                19969        8
 sysutils:'informix'.sysprocbody                                  19977       16
 sysutils:'informix'.sysprocauth                                  19993        8
 sysutils:'informix'.sysprocedures                                20001        8
 sysutils:'informix'.sysprocbody                                  20009       16
 sysutils:'informix'.bar_server                                   20025        8
 sysutils:'informix'.bar_object                                   20033        8
 sysutils:'informix'.bar_obj_idx                                  20041        8
 sysutils:'informix'.bar_action                                   20049        8
 sysutils:'informix'.bar_instance                                 20057        8
 sysutils:'informix'.bar_ordertab                                 20065        8
 sysutils:'informix'.bar_orderseq                                 20073        8
 sysuser:'informix'.systables                                     20081        8
 sysuser:'informix'.syscolumns                                    20089       24
 sysuser:'informix'.sysindices                                    20113       32
 sysuser:'informix'.systabauth                                    20145       16
 sysuser:'informix'.syscolauth                                    20161        8
 sysuser:'informix'.sysviews                                      20169        8
 sysuser:'informix'.sysusers                                      20177        8
 sysuser:'informix'.sysdepend                                     20185        8
 sysuser:'informix'.syssynonyms                                   20193        8
 sysuser:'informix'.syssyntable                                   20201        8
 sysuser:'informix'.sysconstraints                                20209        8
 sysuser:'informix'.sysreferences                                 20217        8
 sysuser:'informix'.syschecks                                     20225        8
 sysuser:'informix'.sysdefaults                                   20233        8
 sysuser:'informix'.syscoldepend                                  20241        8
 sysuser:'informix'.sysprocedures                                 20249        8
 sysuser:'informix'.sysprocbody                                   20257        8
 sysuser:'informix'.sysprocplan                                   20265        8
 sysuser:'informix'.sysprocauth                                   20273        8
 sysuser:'informix'.sysblobs                                      20281        8
 sysuser:'informix'.sysopclstr                                    20289        8
 sysuser:'informix'.systriggers                                   20297        8
 sysuser:'informix'.systrigbody                                   20305        8
 sysuser:'informix'.sysdistrib                                    20313        8
 sysuser:'informix'.sysfragments                                  20321        8
 sysuser:'informix'.sysfragauth                                   20329        8
 sysuser:'informix'.sysxtdtypes                                   20337        8
 sysuser:'informix'.sysxtddesc                                    20345        8
 sysuser:'informix'.sysattrtypes                                  20353        8
 sysuser:'informix'.sysinherits                                   20361        8
 sysuser:'informix'.syscolattribs                                 20369        8
 sysuser:'informix'.syslogmap                                     20377        8
 sysuser:'informix'.syscasts                                      20385       24
 sysuser:'informix'.sysxtdtypeauth                                20409        8
 sysuser:'informix'.sysams                                        20417        8
 sysuser:'informix'.systabamdata                                  20425        8
 sysuser:'informix'.sysopclasses                                  20433        8
 sysuser:'informix'.syserrors                                     20441        8
 sysuser:'informix'.systraceclasses                               20449        8
 sysuser:'informix'.systracemsgs                                  20457        8
 sysuser:'informix'.sysroutinelangs                               20465        8
 sysuser:'informix'.syslangauth                                   20473        8
 sysuser:'informix'.sysaggregates                                 20481        8
 sysuser:'informix'.sysroleauth                                   20489        8
 sysuser:'informix'.sysobjstate                                   20497        8
 sysuser:'informix'.sysviolations                                 20505        8
 sysuser:'informix'.syssequences                                  20513        8
 sysuser:'informix'.sysdirectives                                 20521        8
 sysuser:'informix'.sysxasourcetypes                              20529        8
 sysuser:'informix'.sysxadatasources                              20537        8
 sysuser:'informix'.sysseclabelcomponents                         20545        8
 sysuser:'informix'.sysseclabelcomponentelements                  20553        8
 sysuser:'informix'.syssecpolicies                                20561        8
 sysuser:'informix'.syssecpolicycomponents                        20569        8
 sysuser:'informix'.syssecpolicyexemptions                        20577        8
 sysuser:'informix'.sysseclabels                                  20585        8
 sysuser:'informix'.sysseclabelnames                              20593        8
 sysuser:'informix'.sysseclabelauth                               20601        8
 sysuser:'informix'.syssurrogateauth                              20609        8
